Month,Existing Volume 2M Lag,Existing Volume Trend Component,Existing Volume Seasonal Component,Existing Volume Residual Component
1/1/2021,482533000,375327159.6,60855808.57,46350031.85
2/1/2021,434894000,381406550.9,-20306569.39,73794018.5
3/1/2021,393084000,387485942.2,-33134044.57,38732102.36
4/1/2021,437757000,393565333.5,-124899811.4,169091477.9
5/1/2021,443989000,399644724.8,16511155.21,27833119.94
6/1/2021,308692000,405724116.2,-27243332.11,-69788784.05
7/1/2021,313099000,420834166.7,-37092544.87,-70642621.8
8/1/2021,366335000,421785041.7,27455642.63,-82905684.3
9/1/2021,381948000,424193541.7,23003309.3,-65248850.97
10/1/2021,477035000,425251000,60808975.97,-9024975.968
11/1/2021,528351000,423547916.7,54028797.23,50774286.1
12/1/2021,470583000,430568666.7,12613.44818,40001719.89
1/1/2022,505953000,444546041.7,60855808.57,551149.7608
2/1/2022,434295000,458593166.7,-20306569.39,-3991597.277
3/1/2022,451487000,471598583.3,-33134044.57,13022461.24
4/1/2022,404733000,477406875,-124899811.4,52225936.43
5/1/2022,436139000,474761666.7,16511155.21,-55133821.88
6/1/2022,485040000,469795250,-27243332.11,42488082.11
7/1/2022,472208000,465958625,-37092544.87,43341919.87
8/1/2022,544357000,461296375,27455642.63,55604982.37
9/1/2022,516056000,455104541.7,23003309.3,37948149.03
10/1/2022,482326000,439792750,60808975.97,-18275725.97
11/1/2022,459575000,483621190.8,54028797.23,-78074988.04
12/1/2022,420165000,487454808.4,12613.44818,-67302421.82
1/1/2023,464292000,491288425.9,60855808.57,-87852234.51
2/1/2023,364062000,495122043.5,-20306569.39,-110753474.1
3/1/2023,373116000,498955661.1,-33134044.57,-92705616.51
4/1/2023,115621000,502789278.7,-124899811.4,-262268467.2
