,Existing Volume 4M Lag,Existing Volume Trend Component,Existing Volume Seasonal Component,Existing Volume Residual Component
2021-01-01,481996000,373078842.9972804,61616933.30878231,47300223.69393727
2021-02-01,434881000,379230795.35742027,-19431761.232787218,75081965.87536696
2021-03-01,392953000,385382747.7175602,-33057039.107690103,40627291.39012993
2021-04-01,437437000,391534700.0777,-124432219.76037076,170334519.68267074
2021-05-01,440725000,397686652.43783987,15299140.565645747,27739206.996514387
2021-06-01,304642000,403838604.7979798,-28172627.281090863,-71023977.51688892
2021-07-01,313023000,419275958.3333334,-36139741.54876769,-70113216.78456569
2021-08-01,365856000,420243833.3333333,28177675.117898993,-82565508.45123231
2021-09-01,380867000,422552249.9999999,23340258.451232396,-65025508.45123228
2021-10-01,472892000,423469541.6666666,59821758.451232366,-10399300.117898993
2021-11-01,523764000,421778499.99999994,52662511.00076627,49322988.99923379
2021-12-01,470325000,429007749.99999994,315112.03514855355,41002137.964851506
2022-01-01,505897000,443128208.3333333,61616933.30878231,1151858.3578843772
2022-02-01,434209000,457166791.6666666,-19431761.232787218,-3526030.433879409
2022-03-01,449027000,470191124.99999994,-33057039.107690103,11892914.107690163
2022-04-01,403378000,476178166.6666666,-124432219.76037076,51632053.093704134
2022-05-01,434199000,473871916.6666666,15299140.565645747,-54972057.232312374
2022-06-01,484670000,469051499.99999994,-28172627.281090863,43791127.28109092
2022-07-01,471886000,465145375.0,-36139741.54876769,42880366.54876769
2022-08-01,543919000,460408666.6666667,28177675.117898993,55332658.21543432
2022-09-01,515388000,454255083.3333333,23340258.451232396,37792658.21543429
2022-10-01,482060000,439071791.6666666,59821758.451232366,-16833550.117898993
2022-11-01,459246000,483139328.2342655,52662511.00076627,-76555839.23503178
2022-12-01,419153000,487072876.16550094,315112.03514855355,-68234988.2006495
2023-01-01,463322000,491006424.0967363,61616933.30878231,-89301357.40551862
2023-02-01,363103000,494939972.02797174,-19431761.232787218,-112405210.79518452
2023-03-01,372447000,498873519.9592072,-33057039.107690103,-93369480.85151708
2023-04-01,115559000,502807067.8904426,-124432219.76037076,-262815848.13007185
