CUSTOMER_ID-1,Month,Customer Cohort Month,Grand Total
A00000340,7/31/2022,6/30/2020,1415000
A00000261,11/30/2022,8/31/2019,789000
A00000303,6/30/2022,3/31/2020,444000
A00001645,3/31/2023,10/31/2022,89000
A00000421,6/30/2021,5/31/2021,171000
A00000397,7/31/2021,2/28/2021,73000
A00001505,3/31/2022,2/28/2022,831000
A00000340,8/31/2022,6/30/2020,1580000
A00001550,3/31/2023,5/31/2022,69000
A00001456,11/30/2022,11/30/2021,3036000
A00000219,6/30/2022,1/31/2019,316000
A00000378,11/30/2022,12/31/2020,6000
A00000196,6/30/2022,3/31/2019,558000
A00001522,2/28/2023,3/31/2022,86000
A00001557,2/28/2023,7/31/2022,2000
A00000155,12/31/2022,1/31/2018,8176000
A00000406,9/30/2021,3/31/2021,148000
A00000261,4/30/2021,8/31/2019,382000
A00000109,3/31/2023,1/31/2018,29000
A00000150,8/31/2022,7/31/2018,1404000
A00001410,10/31/2021,7/31/2021,41000
A00001478,1/31/2023,1/31/2022,51000
A00001400,5/31/2022,6/30/2021,320000
A00001406,9/30/2021,8/31/2021,175000
A00000194,11/30/2022,3/31/2019,2000
A00001591,10/31/2022,7/31/2022,172000
A00001465,8/31/2022,1/31/2022,20000
A00000326,12/31/2021,4/30/2020,12000
A00000323,6/30/2021,12/31/2020,1000
A00001496,2/28/2023,2/28/2022,20000
A00000346,4/30/2022,7/31/2020,53000
A00000377,2/28/2022,1/31/2021,3000
A00000377,4/30/2021,1/31/2021,2000
A00000400,1/31/2023,3/31/2021,3203000
A00000191,1/31/2022,12/31/2018,218000
A00000039,9/30/2022,1/31/2018,5139000
A00000406,4/30/2022,3/31/2021,59000
A00001394,9/30/2022,5/31/2021,1051000
A00001498,2/28/2023,2/28/2022,212000
A00001547,11/30/2022,6/30/2022,2000
A00001445,3/31/2022,10/31/2021,3740000
A00000302,3/31/2022,2/29/2020,450000
A00001550,8/31/2022,5/31/2022,47000
A00001406,4/30/2022,8/31/2021,792000
A00000372,6/30/2021,12/31/2020,3179000
A00000337,10/31/2022,6/30/2020,17000
A00001410,11/30/2021,7/31/2021,40000
A00000412,5/31/2023,6/30/2021,30000
A00000423,7/31/2022,5/31/2021,155000
A00000337,12/31/2022,6/30/2020,24000
A00000339,11/30/2022,6/30/2020,138000
A00002404,4/30/2023,3/31/2023,14000
A00001564,11/30/2022,7/31/2022,2000
A00000302,4/30/2021,2/29/2020,214000
A00000379,4/30/2022,1/31/2021,52000
A00000390,5/31/2023,2/28/2021,12000
A00000400,8/31/2021,3/31/2021,3124000
A00000148,5/31/2022,7/31/2018,23304000
A00000350,11/30/2022,7/31/2020,44000
A00001576,10/31/2022,6/30/2022,11000
