CUSTOMER_ID-1,Month,Customer Cohort Month,Grand Total
A00000091,11/30/2019,11/30/2019,1000
A00000006,6/30/2020,1/31/2018,295000
A00000042,10/31/2019,3/31/2018,1000
A00000025,5/31/2020,1/31/2018,1000
A00000150,2/28/2021,7/31/2018,277000
A00000149,12/31/2019,7/31/2018,79000
A00000272,10/31/2019,10/31/2019,2000
A00000036,9/30/2019,1/31/2018,5000
A00000038,6/30/2018,1/31/2018,14000
A00000397,12/31/2021,2/28/2021,171000
A00000281,12/31/2022,11/30/2019,54000
A00000150,1/31/2021,7/31/2018,275000
A00000260,5/31/2019,4/30/2019,1000
A00000226,12/31/2018,10/31/2018,70000
A00000204,10/31/2020,1/31/2019,550000
A00000063,9/30/2019,1/31/2018,3018000
A00000268,3/31/2021,10/31/2019,617000
A00001615,4/30/2023,9/30/2022,2000
A00000278,9/30/2022,10/31/2019,8425000
A00000128,12/31/2021,7/31/2018,6641000
A00001501,7/31/2022,2/28/2022,5000
A00000088,10/31/2022,1/31/2018,62000
A00000192,4/30/2019,2/28/2019,146000
A00000154,9/30/2018,8/31/2018,509000
A00000148,7/31/2019,7/31/2018,7145000
A00000206,10/31/2018,6/30/2018,320000
A00000327,11/30/2021,4/30/2020,478000
A00002408,4/30/2023,2/28/2023,2000
A00000041,3/31/2021,1/31/2018,4000
A00000094,3/31/2021,1/31/2018,85000
A00000094,6/30/2020,1/31/2018,4000
A00000094,9/30/2020,1/31/2018,63000
A00001668,10/31/2022,10/31/2022,1000
A00000218,2/28/2021,4/30/2019,4000
A00000049,6/30/2020,2/28/2018,1000
A00000204,7/31/2021,1/31/2019,72000
A00001671,3/31/2023,11/30/2022,3000
A00000306,8/31/2022,11/30/2020,1131000
A00001474,12/31/2021,12/31/2021,1000
A00000065,7/31/2019,3/31/2018,4000
A00000109,1/31/2021,1/31/2018,8000
A00000038,1/31/2022,1/31/2018,48000
A00000288,9/30/2021,12/31/2019,2192000
A00000192,5/31/2022,2/28/2019,129000
A00001497,12/31/2022,2/28/2022,1000
A00001569,7/31/2022,7/31/2022,1000
A00000065,8/31/2019,3/31/2018,1000
A00000230,5/31/2022,1/31/2018,5839000
A00000283,4/30/2022,11/30/2019,643000
A00000261,11/30/2019,8/31/2019,146000
A00000204,3/31/2019,1/31/2019,355000
A00000198,1/31/2023,1/31/2019,1000
A00000109,5/31/2022,1/31/2018,17000
A00000367,9/30/2022,10/31/2020,9000
A00001413,11/30/2021,7/31/2021,6000
A00000152,10/31/2021,10/31/2018,4000
A00000128,11/30/2019,7/31/2018,6140000
A00000408,12/31/2021,3/31/2021,79000
A00000281,1/31/2022,11/30/2019,12077000
A00000128,4/30/2021,7/31/2018,208508000
A00000212,5/31/2021,10/31/2019,1486000
A00000204,1/31/2020,1/31/2019,3999000
A00000231,9/30/2019,5/31/2019,2000
A00000226,8/31/2020,10/31/2018,19000
A00001508,6/30/2022,4/30/2022,3000
A00000085,9/30/2019,2/28/2018,5000
A00000278,10/31/2020,10/31/2019,3985000
A00000254,7/31/2022,3/31/2018,6000
A00000107,11/30/2019,1/31/2018,13000
A00000254,2/28/2023,3/31/2018,26000
A00001436,2/28/2022,9/30/2021,44000
A00000160,8/31/2019,8/31/2018,310000
A00000299,10/31/2020,1/31/2020,1000
A00000002,2/28/2021,1/31/2018,51000
A00000044,3/31/2022,1/31/2018,4000
A00001542,4/30/2022,4/30/2022,2000
A00000357,12/31/2021,9/30/2020,60000
A00001462,1/31/2022,11/30/2021,9000
A00000096,1/31/2021,1/31/2018,203000
A00000211,8/31/2022,5/31/2019,1912000
A00000154,9/30/2021,8/31/2018,54000
A00000041,9/30/2020,1/31/2018,6000
A00000242,10/31/2020,5/31/2019,7485000
A00000278,11/30/2021,10/31/2019,5872000
A00001483,8/31/2022,1/31/2022,9000
A00001448,11/30/2021,11/30/2021,2000
A00002492,5/31/2023,5/31/2023,1000
A00000039,1/31/2019,1/31/2018,2489000
A00000003,4/30/2021,1/31/2018,755000
A00000088,9/30/2019,1/31/2018,74000
A00000255,11/30/2022,7/31/2019,483000
A00001636,3/31/2023,9/30/2022,1000
A00000119,5/31/2021,3/31/2018,10000
A00001409,2/28/2023,7/31/2021,11000
A00000272,11/30/2019,10/31/2019,5000
A00000001,11/30/2022,1/31/2018,5000
A00000109,9/30/2022,1/31/2018,21000
A00000043,2/28/2019,1/31/2018,759000
A00000200,9/30/2022,4/30/2019,30000
A00000227,10/31/2019,5/31/2019,9000
A00000050,2/28/2018,1/31/2018,5000
A00000152,7/31/2019,10/31/2018,1000
A00000263,11/30/2019,8/31/2019,42000
