Customer Cohort Month,Month,Volume
10/31/2019,7/31/2022,1643000
9/30/2020,4/30/2022,3478000
11/30/2020,1/31/2022,335000
1/31/2021,2/28/2022,4509000
6/30/2020,3/31/2023,326000
3/31/2021,1/31/2022,3356000
10/31/2019,1/31/2022,7093000
9/30/2018,10/31/2022,210000
10/31/2021,1/31/2022,11482000
11/30/2022,1/31/2023,300000
1/31/2019,11/30/2022,19000
1/31/2019,8/31/2022,172000
3/31/2022,4/30/2023,34000
3/31/2020,4/30/2023,236000
7/31/2019,3/31/2022,887000
9/30/2018,5/31/2022,133000
7/31/2018,10/31/2021,13277000
5/31/2019,3/31/2023,7843000
1/31/2021,5/31/2023,692000
12/31/2018,2/28/2022,6114000
6/30/2020,10/31/2022,1641000
11/30/2021,8/31/2022,7568000
4/30/2020,2/28/2022,223321000
4/30/2020,4/30/2022,172115000
12/31/2021,12/31/2021,8000
3/31/2022,4/30/2022,667000
2/28/2021,3/31/2021,134000
8/31/2018,12/31/2022,610000
7/31/2022,3/31/2023,364000
4/30/2021,4/30/2021,131000
8/31/2019,8/31/2021,432000
5/31/2021,2/28/2023,3093000
10/31/2019,4/30/2023,971000
4/30/2021,11/30/2022,187000
8/31/2018,7/31/2022,636000
5/31/2019,8/31/2022,10686000
1/31/2021,10/31/2021,1306000
7/31/2018,6/30/2022,27965000
9/30/2018,4/30/2023,35000
7/31/2018,2/28/2022,16674000
7/31/2022,7/31/2022,40000
2/29/2020,8/31/2022,489000
4/30/2021,2/28/2023,173000
8/31/2018,1/31/2022,251000
10/31/2020,4/30/2022,19153000
5/31/2021,6/30/2021,325000
8/31/2021,3/31/2023,3546000
3/31/2022,6/30/2022,704000
11/30/2020,7/31/2021,133000
5/31/2021,4/30/2022,2379000
9/30/2020,10/31/2022,6226000
1/31/2018,6/30/2021,850000
2/28/2022,5/31/2023,300000
6/30/2021,10/31/2021,473000
6/30/2021,8/31/2022,2421000
4/30/2019,9/30/2022,3878000
3/31/2020,4/30/2022,633000
5/31/2021,3/31/2022,2066000
6/30/2020,11/30/2021,2736000
6/30/2022,5/31/2023,235000
6/30/2021,3/31/2022,717000
10/31/2022,4/30/2023,231000
7/31/2019,9/30/2021,451000
11/30/2020,9/30/2022,388000
10/31/2021,12/31/2021,10743000
10/31/2021,7/31/2022,5583000
8/31/2018,4/30/2021,79000
2/28/2021,11/30/2022,23000
4/30/2019,7/31/2022,3612000
8/31/2022,4/30/2023,95000
3/31/2020,2/28/2023,294000
7/31/2019,11/30/2022,1194000
5/31/2021,5/31/2023,2000000
11/30/2021,3/31/2022,6917000
7/31/2020,4/30/2023,46000
6/30/2020,4/30/2023,273000
10/31/2019,4/30/2022,1601000
11/30/2019,10/31/2021,449000
3/31/2022,12/31/2022,143000
3/31/2021,5/31/2021,3158000
12/31/2020,3/31/2023,3646000
11/30/2021,11/30/2021,1000
3/31/2021,9/30/2022,4077000
9/30/2019,4/30/2023,6000
10/31/2020,6/30/2022,37631000
2/29/2020,1/31/2023,1933000
10/31/2018,4/30/2021,828000
4/30/2020,12/31/2022,118496000
7/31/2018,5/31/2023,8056000
4/30/2021,6/30/2022,294000
8/31/2021,11/30/2022,2929000
6/30/2021,2/28/2022,609000
7/31/2021,1/31/2022,150000
11/30/2021,4/30/2022,6319000
2/28/2021,7/31/2021,199000
6/30/2018,12/31/2021,4084000
2/28/2022,9/30/2022,835000
1/31/2018,3/31/2023,34681000
4/30/2020,8/31/2022,168010000
4/30/2019,10/31/2021,1023000
10/31/2018,2/28/2023,3266000
10/31/2022,3/31/2023,672000
8/31/2018,9/30/2021,156000
3/31/2021,1/31/2023,3207000
5/31/2019,2/28/2022,7747000
1/31/2021,3/31/2021,103000
3/31/2022,9/30/2022,181000
6/30/2020,10/31/2021,2720000
3/31/2020,3/31/2023,1025000
8/31/2021,1/31/2023,3210000
12/31/2018,6/30/2021,5072000
2/28/2021,6/30/2021,88000
1/31/2018,8/31/2021,1393000
10/31/2021,4/30/2023,2088000
9/30/2020,11/30/2022,7281000
4/30/2020,3/31/2023,124616000
7/31/2019,10/31/2021,606000
7/31/2019,6/30/2022,921000
5/31/2019,10/31/2022,6637000
8/31/2021,10/31/2022,4169000
1/31/2019,5/31/2022,256000
6/30/2020,5/31/2022,2109000
12/31/2018,10/31/2022,6524000
2/28/2021,4/30/2023,6000
4/30/2019,12/31/2021,615000
11/30/2020,10/31/2021,135000
10/31/2018,10/31/2021,1257000
3/31/2020,12/31/2021,960000
5/31/2022,12/31/2022,168000
11/30/2022,4/30/2023,135000
7/31/2022,5/31/2023,171000
11/30/2020,8/31/2022,356000
1/31/2018,5/31/2022,6731000
