,1M Lag Volume,2M Lag Volume,3M Lag Volume,4M Lag Volume,5M Lag Volume,6M Lag Volume,Sales Team Farmer Expense,Account Management,Fed_Funds_Target_Rate,LIBOR___3_Month,United_States_Treasury_Constant_Maturity___1_Year,United_States_Treasury_Constant_Maturity___5_Year,United_States_Treasury_Constant_Maturity___10_Year,United_States_Treasury_Constant_Maturity___30_Year,US_Prime_Rate
2021-01-01,482539000,482533000,482533000,481996000,479035000,479032000,36260.0,28330.0,0.0025,0.0020188,0.001,0.0045,0.0111,0.0187,0.0325
2021-02-01,435043000,434894000,434881000,434881000,434680000,433006000,40650.0,28330.0,0.0025,0.0018838,0.0008,0.0075,0.0144,0.0217,0.0325
2021-03-01,394415000,393084000,392976000,392953000,392953000,392500000,73410.0,28330.0,0.0025,0.0019425,0.0007,0.0092,0.0174,0.0241,0.0325
2021-04-01,437883000,437757000,437594000,437437000,437422000,437422000,23810.0,28710.0,0.0025,0.0017638,0.0005,0.0086,0.0165,0.023,0.0325
2021-05-01,444177000,443989000,440914000,440725000,440391000,440374000,15740.0,36250.0,0.0025,0.0013138,0.0005,0.0079,0.0158,0.0226,0.0325
2021-06-01,308709000,308692000,308591000,304642000,304459000,303962000,21220.0,28330.0,0.0025,0.0014575,0.0007,0.0087,0.0145,0.0206,0.0325
2021-07-01,313384000,313099000,313086000,313023000,309455000,309348000,15780.0,28330.0,0.0025,0.0011775,0.0007,0.0069,0.0124,0.0189,0.0325
2021-08-01,366614000,366335000,365865000,365856000,365715000,362468000,16550.0,40000.0,0.0025,0.0011963,0.0007,0.0077,0.013,0.0192,0.0325
2021-09-01,383026000,381948000,381487000,380867000,380828000,380563000,16110.0,41600.0,0.0025,0.0013013,0.0009,0.0098,0.0152,0.0208,0.0325
2021-10-01,477088000,477035000,473375000,472892000,472169000,472126000,27820.0,68900.0,0.0025,0.0013225,0.0015,0.0118,0.0155,0.0193,0.0325
2021-11-01,528363000,528351000,528238000,523764000,523289000,522667000,26470.0,58630.0,0.0025,0.0017325,0.0024,0.0114,0.0143,0.0178,0.0325
2021-12-01,470618000,470583000,470567000,470325000,465646000,465099000,44920.0,112030.0,0.0025,0.0020913,0.0039,0.0126,0.0152,0.019,0.0325
2022-01-01,505987000,505953000,505920000,505897000,505814000,496944000,53870.0,96330.0,0.0025,0.0030886,0.0078,0.0162,0.0179,0.0211,0.0325
2022-02-01,434439000,434295000,434249000,434209000,434180000,434091000,47490.0,87550.0,0.0025,0.0050429,0.0101,0.0171,0.0183,0.0217,0.0325
2022-03-01,452604000,451487000,449129000,449027000,448967000,448933000,42020.0,91050.0,0.005,0.0096157,0.0163,0.0242,0.0232,0.0244,0.035
2022-04-01,405084000,404733000,403549000,403378000,403211000,402721000,80840.0,127080.0,0.005,0.0133486,0.021,0.0292,0.0289,0.0296,0.035
2022-05-01,436384000,436139000,435520000,434199000,434080000,433730000,70840.0,137310.0,0.01,0.0161071,0.0208,0.0281,0.0285,0.0307,0.04
2022-06-01,485072000,485040000,484775000,484670000,483142000,482926000,77160.0,145600.0,0.0175,0.0228514,0.028,0.0301,0.0298,0.0314,0.0475
2022-07-01,472434000,472208000,472175000,471886000,471771000,470152000,151560.0,141420.0,0.025,0.0278829,0.0298,0.027,0.0267,0.03,0.055
2022-08-01,544796000,544357000,543977000,543919000,543431000,543278000,48180.0,141740.0,0.025,0.0309971,0.035,0.033,0.0315,0.0327,0.055
2022-09-01,516058000,516056000,515740000,515388000,515326000,515123000,48180.0,92960.0,0.0325,0.0375471,0.0405,0.0406,0.0383,0.0379,0.0625
2022-10-01,482539000,482326000,482297000,482060000,481721000,481613000,60810.0,163070.0,0.0325,0.0446029,0.0466,0.0427,0.041,0.0422,0.0625
2022-11-01,460373000,459575000,459256000,459246000,459014000,458685000,33340.0,142270.0,0.04,0.0477857,0.0474,0.0382,0.0368,0.038,0.07
2022-12-01,420454000,420165000,419482000,419153000,419139000,418871000,58290.0,169120.0,0.045,0.0476729,0.0473,0.0399,0.0388,0.0397,0.075
2023-01-01,498092000,464292000,463993000,463322000,463243000,463233000,9000.0,159880.0,0.045,0.0481357,0.0468,0.0363,0.0352,0.0365,0.075
2023-02-01,364078000,364062000,363457000,363103000,362466000,362428000,65030.0,186650.0,0.0475,0.04971,0.0502,0.0418,0.0392,0.0393,0.0775
2023-03-01,373277000,373116000,373046000,372447000,372084000,371046000,68900.0,181470.0,0.05,0.0519271,0.0464,0.036,0.0348,0.0367,0.08
2023-04-01,115634000,115621000,115600000,115559000,115249000,115156000,68240.0,139270.0,0.05,0.0530243,0.048,0.0351,0.0344,0.0367,0.08
