Month,EOMONTH,Active Customer Count,Small Business Lending,Other,Consumer,Mortgage,Volume
11/1/2017,11/30/2017,37,5097000,133000,0,0,5230000
6/1/2019,6/30/2019,105,50452000,3614000,16691000,326000,71083000
1/1/2020,1/31/2020,137,112661000,7604000,54283000,1540000,176088000
11/1/2018,11/30/2018,70,32562000,6604000,791000,39000,39996000
5/1/2021,5/31/2021,168,68404000,1963000,371465000,2362000,444194000
5/1/2017,5/31/2017,43,71000,1453000,0,0,1524000
12/1/2022,12/31/2022,235,251391000,1108000,157878000,11650000,422027000
1/1/2019,1/31/2019,83,43966000,5809000,644000,27000,50446000
12/1/2017,12/31/2017,40,5653000,68000,7000,0,5728000
6/1/2018,6/30/2018,53,13466000,903000,648000,2000,15019000
4/1/2017,4/30/2017,29,57000,551000,0,0,608000
2/1/2018,2/28/2018,46,6292000,2108000,2000,0,8402000
3/1/2019,3/31/2019,98,43467000,6576000,4423000,57000,54523000
2/1/2023,2/28/2023,240,198101000,1574000,146815000,17633000,364123000
10/1/2017,10/31/2017,44,4767000,98000,31000,0,4896000
12/1/2019,12/31/2019,127,92184000,2756000,46261000,1497000,142698000
1/1/2017,1/31/2017,22,66000,66000,0,0,132000
11/1/2020,11/30/2020,139,51665000,809000,253114000,1363000,306951000
8/1/2019,8/31/2019,123,64640000,2688000,28020000,569000,95917000
7/1/2019,7/31/2019,120,58464000,4943000,21812000,357000,85576000
9/1/2017,9/30/2017,46,3497000,91000,0,0,3588000
6/1/2016,6/30/2016,23,3000,52000,0,0,55000
11/1/2021,11/30/2021,183,115262000,368000,400134000,12645000,528409000
2/1/2019,2/28/2019,90,42209000,6546000,1194000,15000,49964000
10/1/2021,10/31/2021,186,109444000,406000,362619000,4623000,477092000
7/1/2022,7/31/2022,247,241366000,489000,210838000,19780000,472473000
4/1/2018,4/30/2018,53,9490000,1052000,954000,0,11496000
6/1/2017,6/30/2017,44,178000,1026000,0,0,1204000
10/1/2016,10/31/2016,23,41000,47000,0,0,88000
12/1/2020,12/31/2020,143,64934000,724000,272821000,1471000,339950000
1/1/2022,1/31/2022,212,149194000,455000,336365000,20047000,506061000
3/1/2017,3/31/2017,38,48000,1097000,0,0,1145000
8/1/2016,8/31/2016,25,23000,94000,0,0,117000
