Customer Cohort Month,Month,Volume
10/31/2019,7/31/2022,7782000
9/30/2020,4/30/2022,287000
11/30/2020,1/31/2022,112000
12/31/2018,1/31/2019,3308000
1/31/2021,2/28/2022,42000
8/31/2019,1/31/2021,342000
3/31/2021,1/31/2022,82000
5/31/2019,5/31/2019,300000
10/31/2020,11/30/2020,34446000
2/29/2020,2/28/2022,375000
4/30/2019,11/30/2020,267000
4/30/2020,4/30/2020,104847000
1/31/2020,10/31/2022,60000
5/31/2020,9/30/2021,1761000
9/30/2018,5/31/2019,307000
10/31/2019,1/31/2022,7701000
7/31/2021,2/28/2023,11000
9/30/2018,10/31/2022,13000
10/31/2021,1/31/2022,35000
11/30/2022,1/31/2023,20000
1/31/2019,11/30/2022,5000
1/31/2019,8/31/2022,8000
5/31/2020,2/28/2022,2576000
3/31/2022,4/30/2023,77000
3/31/2020,4/30/2023,24000
6/30/2018,11/30/2020,1797000
1/31/2019,12/31/2019,6983000
7/31/2019,3/31/2022,703000
9/30/2018,5/31/2022,27000
7/31/2018,10/31/2021,6313000
5/31/2019,3/31/2023,1763000
1/31/2021,5/31/2023,611000
12/31/2018,12/31/2019,3946000
4/30/2019,3/31/2021,491000
5/31/2020,9/30/2022,1214000
6/30/2020,10/31/2022,7000
4/30/2019,2/28/2021,353000
2/28/2018,8/31/2022,416000
5/31/2020,2/28/2023,1353000
9/30/2022,1/31/2023,101000
3/31/2020,1/31/2021,689000
4/30/2018,7/31/2019,1000
11/30/2021,8/31/2022,97000
9/30/2018,12/31/2020,142000
4/30/2020,1/31/2021,370965000
4/30/2020,2/28/2022,667000
5/31/2018,8/31/2019,6000
12/31/2021,12/31/2021,10000
1/31/2018,2/28/2021,74644000
3/31/2022,4/30/2022,290000
2/28/2021,3/31/2021,1260000
7/31/2022,3/31/2023,84000
4/30/2021,4/30/2021,136000
1/31/2020,6/30/2021,120000
8/31/2019,8/31/2021,5000
5/31/2021,2/28/2023,69000
10/31/2019,4/30/2023,1742000
4/30/2021,11/30/2022,222000
9/30/2018,4/30/2020,161000
8/31/2018,7/31/2022,346000
8/31/2018,1/31/2020,1196000
4/30/2020,7/31/2020,124651000
5/31/2019,8/31/2022,1912000
1/31/2021,10/31/2021,168000
7/31/2018,6/30/2022,7628000
4/30/2021,12/31/2022,250000
1/31/2019,4/30/2019,1720000
11/30/2018,11/30/2020,1166000
11/30/2019,8/31/2020,18773000
5/31/2019,6/30/2020,8363000
2/28/2018,11/30/2021,243000
9/30/2018,4/30/2023,1000
6/30/2020,1/31/2021,54000
5/31/2019,1/31/2020,7486000
7/31/2018,2/28/2022,7406000
7/31/2022,7/31/2022,65000
5/31/2018,1/31/2019,3000
7/31/2018,9/30/2019,14802000
2/28/2019,1/31/2020,21032000
2/29/2020,8/31/2022,50000
4/30/2021,2/28/2023,443000
11/30/2021,5/31/2023,2232000
9/30/2021,2/28/2023,170000
8/31/2018,1/31/2022,141000
