Customer Cohort Month,Month,Volume
6/1/2016,6/1/2016,55000
6/1/2016,7/1/2016,107000
7/1/2016,7/1/2016,28000
6/1/2016,8/1/2016,68000
7/1/2016,8/1/2016,30000
8/1/2016,8/1/2016,19000
6/1/2016,9/1/2016,21000
7/1/2016,9/1/2016,16000
9/1/2016,9/1/2016,22000
6/1/2016,10/1/2016,33000
7/1/2016,10/1/2016,21000
8/1/2016,10/1/2016,1000
9/1/2016,10/1/2016,6000
10/1/2016,10/1/2016,27000
6/1/2016,11/1/2016,23000
7/1/2016,11/1/2016,14000
9/1/2016,11/1/2016,8000
10/1/2016,11/1/2016,37000
11/1/2016,11/1/2016,3000
6/1/2016,12/1/2016,32000
7/1/2016,12/1/2016,23000
9/1/2016,12/1/2016,16000
10/1/2016,12/1/2016,32000
11/1/2016,12/1/2016,1000
12/1/2016,12/1/2016,9000
6/1/2016,1/1/2017,36000
7/1/2016,1/1/2017,35000
9/1/2016,1/1/2017,15000
10/1/2016,1/1/2017,34000
12/1/2016,1/1/2017,1000
1/1/2017,1/1/2017,11000
6/1/2016,2/1/2017,444000
7/1/2016,2/1/2017,21000
8/1/2016,2/1/2017,1000
9/1/2016,2/1/2017,9000
10/1/2016,2/1/2017,9000
12/1/2016,2/1/2017,1000
1/1/2017,2/1/2017,2000
2/1/2017,2/1/2017,10000
6/1/2016,3/1/2017,1059000
7/1/2016,3/1/2017,30000
8/1/2016,3/1/2017,1000
9/1/2016,3/1/2017,7000
10/1/2016,3/1/2017,31000
12/1/2016,3/1/2017,2000
1/1/2017,3/1/2017,3000
2/1/2017,3/1/2017,4000
3/1/2017,3/1/2017,8000
6/1/2016,4/1/2017,542000
7/1/2016,4/1/2017,38000
8/1/2016,4/1/2017,2000
9/1/2016,4/1/2017,4000
10/1/2016,4/1/2017,12000
11/1/2016,4/1/2017,1000
12/1/2016,4/1/2017,1000
2/1/2017,4/1/2017,2000
3/1/2017,4/1/2017,1000
4/1/2017,4/1/2017,5000
6/1/2016,5/1/2017,1412000
7/1/2016,5/1/2017,52000
8/1/2016,5/1/2017,2000
9/1/2016,5/1/2017,8000
10/1/2016,5/1/2017,6000
1/1/2017,5/1/2017,1000
2/1/2017,5/1/2017,18000
3/1/2017,5/1/2017,4000
4/1/2017,5/1/2017,0
5/1/2017,5/1/2017,21000
6/1/2016,6/1/2017,985000
7/1/2016,6/1/2017,29000
8/1/2016,6/1/2017,4000
9/1/2016,6/1/2017,54000
10/1/2016,6/1/2017,17000
1/1/2017,6/1/2017,1000
2/1/2017,6/1/2017,1000
3/1/2017,6/1/2017,3000
4/1/2017,6/1/2017,0
5/1/2017,6/1/2017,31000
