Customer Cohort Month,Volume,Weighted Average Ramp
2018-01-31,375979000,51.8780357413579
2018-03-31,41000,59.0
2018-06-30,103313000,36.38648572783677
2018-07-31,421578000,36.4896128355844
2018-08-31,10187000,37.340826543634044
2018-09-30,3882000,31.0
2018-10-31,52029000,31.0
2018-11-30,17357000,29.0
2018-12-31,122518000,28.712548360240945
2019-01-31,1379000,39.0
2019-02-28,28559000,48.0
2019-03-31,19535000,36.71046839006911
2019-04-30,64906000,33.33808892860444
2019-05-31,187821000,23.0
2019-07-31,25604000,21.0
2019-08-31,11173000,21.027566454846504
2019-10-31,97878000,20.265105539549236
2019-11-30,7333000,23.0
2019-12-31,2155000,35.815313225058006
2020-02-29,19331000,15.0
2020-03-31,18675000,13.0
2020-04-30,5315044000,12.01331879848972
2020-06-30,43484000,13.723599484867998
2020-07-31,11765000,9.0
2020-09-30,100590000,9.056715379262352
2020-10-31,247463000,19.0
2020-11-30,5670000,5.0
2020-12-31,95229000,4.0064161127387665
2021-01-31,60929000,7.7985852385563526
2021-02-28,5891000,6.1923272789000166
2021-03-31,97978000,2.9300659331686707
2021-04-30,6261000,6.128413991375179
2021-05-31,49207000,6.0951897087812705
2021-06-30,36538000,10.027970879632164
2021-07-31,1306000,1.7075038284839203
2021-08-31,108243000,2.427122308140018
2021-09-30,7000,6.0
2021-10-31,104736000,1.9985869233119462
2021-11-30,60531000,3.9956385984041236
2021-12-31,947000,3.436114044350581
2022-01-31,35964000,1.1626762325853008
2022-02-28,10618000,2.2836692409116592
2022-03-31,4127000,1.930942573297795
2022-04-30,748986000,1.9997797021573167
2022-05-31,1318000,4.546282245827011
2022-06-30,2745000,1.8076079005120702
2022-07-31,2177000,1.9490124023886082
2022-08-31,2442000,3.0
2022-10-31,4169000,2.087550971455985
2022-11-30,2261000,1.6846528084918178
2023-02-28,2096000,1.0
