Customer Cohort Month,Volume,Weighted Average Ramp
2018-01-31,1678394000,1.9277114894438492
2018-02-28,24661000,2.985845804436874
2018-03-31,1233000,2.186536901865369
2018-04-30,63000,3.0634920634920637
2018-05-31,60000,2.9661016949152543
2018-06-30,83910000,2.3268492693508787
2018-07-31,1785988000,1.1368654979011605
2018-08-31,33624000,2.5561669095559587
2018-09-30,69685000,6.697749842144538
2018-10-31,8243000,2.95583060308215
2018-11-30,10499000,2.0
2018-12-31,86320000,1.8587233549582947
2019-01-31,43316000,1.0101348231600333
2019-02-28,277922000,1.9812356748860287
2019-03-31,23037000,1.9766886612259074
2019-04-30,19515000,2.867691519344094
2019-05-31,208081000,2.582638491741197
2019-06-30,31429000,2.6256841033473335
2019-07-31,15894000,2.8892034730086826
2019-08-31,7606000,2.140283986326584
2019-09-30,2117000,2.004723665564478
2019-10-31,256977000,1.3752558704264377
2019-11-30,628790000,1.0332175506231274
2019-12-31,85991000,2.755204093499244
2020-01-31,28276000,1.0015914556514358
2020-02-29,4538000,2.2515445719329215
2020-03-31,7411000,3.830252327621104
2020-04-30,2159653000,2.7597277843165418
2020-05-31,55813000,1.0623331481912817
2020-06-30,53101000,1.0318261426338486
2020-07-31,2804000,1.4220478059222261
2020-09-30,32808000,1.0
2020-10-31,191360000,1.0000836124770718
2020-11-30,19975000,1.0118147684605756
2020-12-31,8663000,1.0040401708415099
2021-01-31,65549000,1.8818539651542427
2021-02-28,2850000,5.8097578097578095
2021-03-31,1876935000,1.1720704233231305
2021-04-30,11700000,2.267692307692308
2021-05-31,1393000,1.1912293314162472
2021-06-30,2263000,2.0744060959211117
2021-07-31,7283000,3.175913210656413
2021-08-31,8595000,3.35910572892408
2021-09-30,2842000,2.413793103448276
2021-10-31,518000,2.942084942084942
2021-11-30,20831000,1.146848447026067
2021-12-31,1203000,5.914238134887594
2022-01-31,1005000,1.366153846153846
2022-02-28,5418000,11.073868882733148
2022-03-31,1570000,3.9878749202297383
2022-04-30,1131000,4.64110127826942
2022-05-31,1255000,1.0048154093097914
2022-06-30,247000,1.0
2022-07-31,645000,3.227906976744186
2022-08-31,258000,1.1213389121338913
2022-09-30,2423000,1.4879966887417218
2022-10-31,431000,1.601123595505618
2022-11-30,1054000,2.9718918918918917
2022-12-31,35028000,1.0003141510781093
2023-02-28,227000,1.5833333333333333
