Customer Cohort Month,Volume,Weighted Average Ramp
2016-06-01,386718000,9.946187614761609
2016-07-01,4387000,1.169364030088899
2016-08-01,165000,13.478260869565217
2016-09-01,1216442000,14.846666502252475
2016-10-01,5840000,1.0877012675573827
2016-11-01,19000,1.0
2017-01-01,128000,13.141732283464567
2017-02-01,9999000,1.2185218521852186
2017-05-01,14385000,6.050403225806452
2017-06-01,930679000,7.700825956103017
2017-07-01,34496000,5.797773654916512e-05
2017-08-01,990000,2.1486349848331647
2017-09-01,195630000,7.155456729540459
2017-10-01,622925000,12.113089237210318
2017-11-01,36229000,2.0
2017-12-01,218144000,21.10683768519877
2018-01-01,664533000,7.525894124144324
2018-02-01,443983000,1.0299541194515958
2018-03-01,24133000,2.035884473542452
2018-04-01,168671000,4.309021704975959
2018-05-01,62462000,1.0028497782616352
2018-06-01,136927000,3.2784111241756557
2018-07-01,10051000,3.3608596159586113
2018-08-01,6181000,4.921048374049507
2018-09-01,67084000,1.996213645782091
2018-10-01,239093000,3.371353406415077
2018-11-01,85106000,3.5547904965572346
2018-12-01,81779000,16.96967436627985
2019-01-01,6664000,1.038265306122449
2019-02-01,24176000,1.8146508934480476
2019-03-01,523226000,1.174117799961392
2019-04-01,53920000,2.9970326409495547
2019-05-01,954316000,4.964523281596453
2019-06-01,78560000,1.7740707739307535
2019-07-01,18785000,2.1117856952654845
2019-08-01,9225000,7.474905149051491
2019-09-01,7000,5.0
2019-10-01,134411000,1.3495722044490737
2019-11-01,547000,2.0
2019-12-01,127949000,4.693932738825626
2020-01-01,425774000,1.0262134371755909
2020-02-01,81753000,2.461830146905924
2020-03-01,22948000,1.6483789436987972
2020-04-01,7159770000,3.008474533571749
2020-05-01,487000,2.0
2020-06-01,116741000,7.731568172278806
2020-07-01,6825000,1.0
2020-08-01,175000,4.0
2020-09-01,9803000,1.505817513778322
2020-10-01,9263000,3.9362713329012746
2020-12-01,25533000,1.00211491011632
2021-01-01,129698000,6.452142669894679
2021-02-01,3805000,1.4402102496714848
2021-03-01,90320000,2.938020372010629
2021-04-01,6921000,1.9432162982228
2021-05-01,23451000,5.665472687731866
2021-06-01,22132000,3.567042011486456
2021-07-01,21821000,5.129691581504056
2021-08-01,160549000,1.9552277851830628
2021-09-01,3088000,2.5050243111831443
2021-10-01,734000,5.337874659400545
2021-11-01,3254000,2.0599262446220035
2021-12-01,2950000,5.535075653370014
2022-01-01,8909000,1.0616299955096542
2022-02-01,19520000,3.4119096509240245
2022-03-01,2961000,4.6447595987547565
2022-04-01,2840000,2.0081358330385566
2022-05-01,1302000,1.9792703150912105
2022-06-01,3686000,2.4480662983425416
2022-07-01,2645000,1.9455576559546315
2022-08-01,464000,2.872844827586207
2022-09-01,1041000,2.1786427145708585
2022-10-01,4576000,1.267017017017017
2022-11-01,1653000,2.0
2022-12-01,36887000,1.0455605575744427
