,Cohort,R-squared,US Prime Rate P-value,Acc Mgmt Spend P-value
0,2016_06_01,0.4164368256195051,0.767827707723127,0.017742532718537714
1,2016_07_01,0.2005096120089307,0.12762599936404537,0.7943274042356955
2,2016_08_01,0.43773180620317675,0.17860834880844856,0.002325221455186166
3,2016_09_01,0.42611796938897817,0.6193895940612444,0.011219791638108687
4,2016_10_01,0.6176995501832037,0.04108678826623906,0.15224236355294582
5,2016_11_01,0.07682612136765554,0.20170269236771213,0.4141448451099884
6,2016_12_01,0.034927815045571076,0.5137422232666338,0.3762437265918872
7,2017_01_01,0.2741498883692304,0.029708940344119087,0.3977700261478341
8,2017_02_01,0.3499821825739283,0.010652775182793306,0.0018619305248735068
9,2017_03_01,0.003267348505162082,0.7952570711748729,0.8669311102648957
10,2017_04_01,0.6925720031310252,0.021245642570992387,5.2571926944488125e-06
11,2017_05_01,0.07329167142318949,0.42363924418968657,0.9571863870874703
12,2017_06_01,0.44988619026657517,0.4144643221129334,0.09338067264677592
13,2017_07_01,0.5950276958240468,0.3099950846331676,0.0240022433981183
14,2017_08_01,0.34704734668404125,0.002062238893356804,0.005251907422574326
15,2017_09_01,0.6392138949235167,0.10570744550020768,0.043487340238847254
16,2017_10_01,0.5189570471686102,0.13980868563628704,0.0006149859026030084
17,2017_11_01,0.6863444996775137,0.4081771726502478,9.431130885094405e-05
18,2017_12_01,0.33136934829245324,0.04195147814115646,0.003501865024517268
19,2018_01_01,0.3787041718077354,0.026090085078040493,0.0014944196868341142
20,2018_02_01,0.4143117811944653,0.10491721779775487,0.002030662555591671
21,2018_03_01,0.5865592798816119,0.008687806299587321,0.6434122793775379
22,2018_04_01,0.25772279026347344,0.17573727828116595,0.7992744700725931
23,2018_05_01,0.6860414975069478,0.5239659939399444,0.0001375511347593727
24,2018_06_01,0.33162253782753015,0.005300266476397398,0.0029774932069063912
25,2018_07_01,0.4193820064741356,0.005897952803317103,0.3596803864297845
26,2018_08_01,0.08931198874740887,0.1872848618712956,0.46076029221210546
27,2018_09_01,0.08924657933177005,0.24486650406491203,0.1472574942021653
28,2018_10_01,0.18410444398971026,0.04976549868980372,0.03490523414085326
29,2018_11_01,0.3794820978341962,0.03218346296386712,0.8666972837091806
30,2018_12_01,0.5437557905375829,0.01636112599974283,0.6397321897168493
31,2019_01_01,0.7308500713279864,6.228075458927571e-06,6.167340197738069e-08
32,2019_02_01,0.5441670801166718,0.0008427096242944536,0.27870120522581654
33,2019_03_01,0.5435430284928057,0.43519471238155405,0.0014818301144953127
34,2019_04_01,0.06620164730218758,0.4439985530024494,0.23578913523834838
35,2019_05_01,0.7117478929389665,1.7793976164847936e-05,0.17062485037077885
36,2019_06_01,0.5279979078793249,6.558762267653988e-05,7.379978215032879e-05
37,2019_07_01,0.09715453431467569,0.13795206140376784,0.29601618000385777
38,2019_08_01,0.6328582777166407,0.04275345337126181,0.11827836538403605
39,2019_09_01,0.09839016885176577,0.42616062605964644,0.9108802973996024
40,2019_10_01,0.2609413823019239,0.17272804469586525,0.7962701032072024
